area;regione;comune;stato_compilazione;data_invio_risposta
NORD_EST;Emilia-Romagna;Comune di Montecopiolo;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Sassofeltrio;Mai aperto;
NORD_EST;Veneto;Comune di Calto;Completato;2024-09-26 09:36:51
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Valdaone;Completato;2024-09-30 07:23:57
NORD_EST;Emilia-Romagna;Comune di Terre del Reno;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Mortegliano;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Varmo;Mai aperto;
NORD_EST;Veneto;Comune di Annone Veneto;Mai aperto;
NORD_EST;Veneto;Comune di Bagnoli di Sopra;Mai aperto;
NORD_EST;Veneto;Comune di Bassano del Grappa;Completato;2024-09-12 10:21:15
NORD_EST;Veneto;Comune di Castel D'Azzano;Mai aperto;
NORD_EST;Veneto;Comune di Cologna Veneta;Completato;2024-09-18 08:17:47
NORD_EST;Veneto;Comune di Concamarise;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Cotignola;Completato;2024-09-10 14:54:46
NORD_EST;Emilia-Romagna;Comune di Longiano;In compilazione;
NORD_EST;Emilia-Romagna;Comune di Poviglio;Mai aperto;
NORD_EST;Veneto;Comune di Pramaggiore;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Preone;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Remanzacco;Completato;2024-09-13 12:34:53
NORD_EST;Veneto;Comune di Trevignano;Completato;2024-09-18 11:36:56
NORD_EST;Friuli-Venezia Giulia;Comune di Cormons;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Gambettola;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Corte Brugnatella;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Caderzone Terme;Mai aperto;
NORD_EST;Veneto;Comune di Val di Zoldo;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Braies;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Misano Adriatico;Completato;2024-09-23 09:57:53
NORD_EST;Veneto;Comune di Ronca';Mai aperto;
NORD_EST;Veneto;Comune di San Pietro di Cadore;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Spormaggiore;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;COMUNE DI BORGO D'ANAUNIA;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Novella;In compilazione;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Ville di Fiemme;Mai aperto;
NORD_EST;Veneto;Comune di Abano Terme;Mai aperto;
NORD_EST;Veneto;Comune di Adria;Completato;2024-09-30 10:36:02
NORD_EST;Veneto;Comune di Affi;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Agazzano;Mai aperto;
NORD_EST;Veneto;Comune di Agna;Completato;2024-09-13 07:41:09
NORD_EST;Veneto;Comune di Agordo;Completato;2024-08-14 06:21:09
NORD_EST;Veneto;Comune di Agugliaro;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Aiello del Friuli;Completato;2024-09-16 10:42:23
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Ala;Completato;2024-08-09 07:25:24
NORD_EST;Veneto;Comune di Albaredo D'Adige;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Albareto;Mai aperto;
NORD_EST;Veneto;Comune di Albettone;Completato;2024-09-23 10:44:31
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Albiano;In compilazione;
NORD_EST;Veneto;Comune di Albignasego;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Albinea;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Aldeno;Completato;2024-08-29 14:52:29
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Aldino;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Alfonsine;Completato;2024-09-10 12:24:37
NORD_EST;Veneto;Comune di Alleghe;Completato;2024-09-13 15:03:26
NORD_EST;Veneto;Comune di Alonte;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Alseno;In compilazione;
NORD_EST;Veneto;Comune di Altavilla Vicentina;Mai aperto;
NORD_EST;Veneto;Comune di Altissimo;Completato;2024-08-08 17:11:47
NORD_EST;Veneto;Comune di Altivole;Completato;2024-09-23 07:36:31
NORD_EST;Friuli-Venezia Giulia;Comune di Amaro;Mai aperto;
NORD_EST;Veneto;Comune di Cortina D' Ampezzo;Completato;2024-09-24 10:00:33
NORD_EST;Friuli-Venezia Giulia;Comune di Ampezzo;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Andalo;Completato;2024-09-08 16:20:53
NORD_EST;Friuli-Venezia Giulia;Comune di Andreis;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Andriano;Mai aperto;
NORD_EST;Veneto;Comune di Angiari;Mai aperto;
NORD_EST;Veneto;Comune di Anguillara Veneta;Completato;2024-09-23 12:04:10
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Anterivo;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Anzola dell'Emilia;In compilazione;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Appiano Sulla Strada del Vino;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Aquileia;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Arba;Mai aperto;
NORD_EST;Veneto;Comune di Arcade;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Arco;Mai aperto;
NORD_EST;Veneto;Comune di Arcole;In compilazione;
NORD_EST;Veneto;Comune di Arcugnano;In compilazione;
NORD_EST;Emilia-Romagna;Comune di Argelato;In compilazione;
NORD_EST;Emilia-Romagna;Comune di Argenta;Mai aperto;
NORD_EST;Veneto;Comune di Ariano nel Polesine;Mai aperto;
NORD_EST;Veneto;Comune di Arqua Petrarca;Mai aperto;
NORD_EST;Veneto;Comune di Arqua' Polesine;Completato;2024-09-09 10:12:50
NORD_EST;Veneto;Comune di Arre;Mai aperto;
NORD_EST;Veneto;Comune di Arsie';Mai aperto;
NORD_EST;Veneto;Comune di Arsiero;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Arta Terme;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Artegna;Mai aperto;
NORD_EST;Veneto;Comune di Arzergrande;In compilazione;
NORD_EST;Veneto;Comune di Arzignano;Completato;2024-09-30 07:41:59
NORD_EST;Veneto;Comune di Asiago;Completato;2024-09-21 09:41:25
NORD_EST;Veneto;Comune di Asigliano Veneto;Completato;2024-08-26 15:36:15
NORD_EST;Veneto;Comune di Asolo;Completato;2024-08-07 10:17:19
NORD_EST;Friuli-Venezia Giulia;Comune di Attimis;Mai aperto;
NORD_EST;Veneto;Comune di Auronzo di Cadore;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Avelengo - Gemeinde Hafling;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Aviano;Mai aperto;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Avio;Mai aperto;
NORD_EST;Friuli-Venezia Giulia;Comune di Azzano Decimo;In compilazione;
NORD_EST;Trentino-Alto Adige/Südtirol;Comune di Badia;Mai aperto;
NORD_EST;Veneto;Comune di Badia Polesine;Completato;2024-09-30 08:12:33
NORD_EST;Veneto;Comune di Badia Calavena;Completato;2024-09-19 07:30:59
NORD_EST;Emilia-Romagna;Comune di Bagnacavallo;Completato;2024-09-10 12:39:08
NORD_EST;Emilia-Romagna;Comune di Bagnara di Romagna;Completato;2024-09-10 12:49:53
NORD_EST;Friuli-Venezia Giulia;Comune di Bagnaria Arsa;Mai aperto;
NORD_EST;Emilia-Romagna;Comune di Bagno di Romagna;In compilazione;
NORD_EST;Emilia-Romagna;Comune di Bagnolo In Piano;Completato;2024-09-26 14:15:11
NORD_EST;Veneto;Comune di Bagnolo di Po;Mai aperto;
